",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,643102 Ancrum LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643102 Ancrum LP\FY-1\643102 - Ancrum - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643102 Ancrum LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,58.6468,64310200000022"
" ,643103 Ormiston LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643103 Ormiston LP\FY-1\643103 - Ormiston - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643103 Ormiston LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,50.0583,64310300000063"
" ,643104 Rhonehouse - Bridge Of Dee LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643104 Rhonehouse - Bridge Of Dee LP\FY-1\643104 - Rhonehouse.Bridge of Dee - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643104 Rhonehouse - Bridge Of Dee LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,52.1578,64310400000007"
" ,644002 Kilsyth LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644002 Kilsyth LP\FY-1\644002 Kilsyth FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644002 Kilsyth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.1932,64400200000631"
" ,644003 Falkirk LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644003 Falkirk LP\FY-1\644003FALKIRK-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644003 Falkirk LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.6163,64400300000051"
" ,644004 Grangemouth LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644004 Grangemouth LP\FY1\644004 - Grangemouth - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644004 Grangemouth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.4298,64400400001111"
" ,644004 Grangemouth LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644004 Grangemouth LP\FY1\644004 - Grangemouth - FY1_SCT34971.MDB,S:\TEST AREA\ac00418\ASP_models_out\644004 Grangemouth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.8834,64400400001699"
" ,644005 Laurieston - Polmont LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644005 Laurieston - Polmont LP\FY-1\644005LAURIESTON-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644005 Laurieston - Polmont LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.0086,644005-1462729"
" ,644007 Tullibody LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644007 Tullibody LP\FY-1\644007_TULLIBODY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644007 Tullibody LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.8493,64400700000390"
" ,644008 East Kilbride LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644008 East Kilbride LP\FY-1\644008 _East Kilbride_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644008 East Kilbride LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.5384,64400800003559"
" ,644009 Bridge Of Allan - Stirling LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644009 Bridge Of Allan - Stirling LP\FY1\644009 - Bridge of Allan Stirling - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644009 Bridge Of Allan - Stirling LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.7143,64400900003442"
" ,644010 Alloa LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\644010 Alloa LP\FY1\644010 - Alloa - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\644010 Alloa LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0925,64401000001463"
