"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60600700004193","Nodes","","21.000000","22.528542","Default Known Flow Node","Known Flow","321523.062645","863066.988058","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004227","Nodes","","21.000000","22.437070","Default Known Flow Node","Known Flow","321506.088640","863050.882054","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004195","Nodes","","21.000000","22.589129","Default Known Flow Node","Known Flow","321526.290646","863054.373054","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004199","Nodes","","21.000000","23.068111","Default Known Flow Node","Known Flow","321850.318734","862955.050027","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004200","Nodes","","21.000000","23.067094","Default Known Flow Node","Known Flow","321852.381735","862956.857028","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004205","Nodes","","21.000000","27.313175","DDS demands","Known Flow","321526.952646","863460.531165","","0.000000","","","","","","","-0.860000","","","","","","-0.769027","-0.860000","","","","","","","","","D1 PROFILE","","","","",""
"60600700004206","Nodes","","21.000000","27.356655","Default Known Flow Node","Known Flow","321498.571638","863455.996164","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004223","Nodes","","21.000000","23.232589","Default Known Flow Node","Known Flow","321816.493725","862962.108029","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700003684","Nodes","","21.000000","22.399346","Default Known Flow Node","Known Flow","321493.529637","863045.565052","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700004225","Nodes","","21.000000","22.404557","Default Known Flow Node","Known Flow","321501.353639","863052.762054","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
