"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601100000320","Nodes","320","21.000000","35.308231","DDS demands","Known Flow","399495.000862","865456.506708","","0.000000","","","","","","","-17.679999","","","","","","-15.809772","-17.679999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000463","Nodes","463","21.000000","35.373644","DDS demands","Known Flow","399455.613851","865428.115700","","0.000000","","","","","","","-2.460000","","","","","","-2.199776","-2.460000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000232","Nodes","232","21.000000","37.858663","DDS demands","Known Flow","399420.247842","865428.641701","","0.000000","","","","","","","-20.020000","","","","","","-17.902242","-20.020000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000449","Nodes","449","21.000000","37.823205","DDS demands","Known Flow","399372.304829","865400.633693","","0.000000","","","","","","","-9.760000","","","","","","-8.727566","-9.760000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000462","Nodes","462","21.000000","37.814337","DDS demands","Known Flow","399329.470817","865388.369690","","0.000000","","","","","","","-4.169999","","","","","","-3.728888","-4.169999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000450","Nodes","450","21.000000","34.525748","DDS demands","Known Flow","399209.995785","865412.154696","","0.000000","","","","","","","-7.250000","","","","","","-6.483080","-7.250000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000451","Nodes","451","21.000000","34.199499","DDS demands","Known Flow","399231.111790","865368.165684","","0.000000","","","","","","","-5.749999","","","","","","-5.141752","-5.749999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000230","Nodes","230","21.000000","34.649837","DDS demands","Known Flow","399248.426795","865456.924708","","0.000000","","","","","","","-13.319999","","","","","","-11.910982","-13.319999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000452","Nodes","452","21.000000","34.132069","DDS demands","Known Flow","399301.217809","865388.374690","","0.000000","","","","","","","-9.760000","","","","","","-8.727566","-9.760000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000453","Nodes","453","21.000000","33.978380","DDS demands","Known Flow","399170.999774","865361.480682","","0.000000","","","","","","","-6.150000","","","","","","-5.499440","-6.150000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000454","Nodes","454","21.000000","34.137601","DDS demands","Known Flow","399158.982771","865316.139670","","0.000000","","","","","","","-3.769999","","","","","","-3.371201","-3.769999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000455","Nodes","455","21.000000","33.893523","DDS demands","Known Flow","399099.874755","865367.046684","","0.000000","","","","","","","-13.640000","","","","","","-12.197133","-13.640000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000353","Nodes","353","21.000000","34.724258","DDS demands","Known Flow","399059.907744","865416.547697","","0.000000","","","","","","","-9.859999","","","","","","-8.816988","-9.859999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000456","Nodes","456","21.000000","34.121939","DDS demands","Known Flow","399044.833740","865366.764684","","0.000000","","","","","","","-6.639999","","","","","","-5.937606","-6.639999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000457","Nodes","Logger 9181, 39-56 Cairnhill Drive","21.000000","33.562315","Val Log Cath","Known Flow","399008.644730","865279.010660","","0.000000","","","","","","","-11.279999","","","","","","-10.086777","-11.279999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000459","Nodes","459","21.000000","33.390844","DDS demands","Known Flow","398964.622718","865285.041661","","0.000000","","","","","","","-6.829999","","","","","","-6.107508","-6.829999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000458","Nodes","458","21.000000","33.444780","DDS demands","Known Flow","399015.731732","865342.131677","","0.000000","","","","","","","-5.030000","","","","","","-4.497916","-5.030000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000321","Nodes","321","21.000000","35.351086","Default Known Flow Node","Known Flow","399522.020869","865408.526695","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000319","Nodes","319","21.000000","36.724595","DDS demands","Known Flow","399573.864884","865495.777719","","0.000000","","","","","","","-14.569999","","","","","","-13.028754","-14.569999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000322","Nodes","322","21.000000","36.681876","Default Known Flow Node","Known Flow","399594.900889","865430.044701","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000584","Nodes","584","21.000000","28.453533","DDS demands","Known Flow","398490.124589","865591.387745","","0.000000","","","","","","","-8.859999","","","","","","-7.922770","-8.859999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000430","Nodes","430","21.000000","27.388282","DDS demands","Known Flow","398469.749583","865520.637726","","0.000000","","","","","","","-20.879998","","","","","","-18.671268","-20.879998","","","","","","","","","D1 PROFILE","","","","",""
"60601100000225","Nodes","225","21.000000","35.385187","DDS demands","Known Flow","398661.624635","865760.012791","","0.000000","","","","","","","-19.229999","","","","","","-17.195810","-19.229999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000223","Nodes","223","21.000000","35.666440","DDS demands","Known Flow","398857.124689","865808.137804","","0.000000","","","","","","","-27.049998","","","","","","-24.188592","-27.049998","","","","","","","","","D1 PROFILE","","","","",""
