"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"625004-4075","Nodes","-4075",21.000000,36.674807,"Default Known Flow Node","Known Flow",248405.750000,661587.625000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001118","Nodes","1118",21.000000,36.679242,"Default Known Flow Node","Known Flow",248410.718750,661603.875000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400002272","Nodes","2272",21.000000,36.872183,"DDS demands","Known Flow",248431.750000,661681.125000,,0.000000,,,,,,-18.750000,,,,,,,,,-16.766585,-18.750000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"625004-1898","Nodes","-1898",21.000000,28.435278,"Default Known Flow Node","Known Flow",246182.875000,663813.875000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001103","Nodes","1103",21.000000,28.435278,"Default Known Flow Node","Known Flow",246183.250000,663822.000000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400005244","Nodes","5244",21.000000,28.391975,"Default Known Flow Node","Known Flow",246184.250000,663847.125000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400100394","Nodes","100394",21.000000,47.019711,"DDS demands","Known Flow",243155.875000,664706.750000,,0.000000,,,,,,-3.390000,,,,,,,,,-3.031398,-3.390000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001101","Nodes","1101",21.000000,44.802926,"Default Known Flow Node","Known Flow",243162.218750,664718.437500,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400100395","Nodes","100395",21.000000,42.727744,"DDS demands","Known Flow",243170.250000,664728.125000,,0.000000,,,,,,-24.020000,,,,,,,,,-21.479113,-24.020000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001739","Nodes","1739",21.000000,33.335373,"DDS demands","Known Flow",246545.250000,662040.500000,,0.000000,,,,,,-42.270000,,,,,,,,,-37.798593,-42.270000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
