"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"96106300133866","Nodes","133866","21.000000","36.087193","Default Known Flow Node","Known Flow","625901.586892","148325.082397","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106305203012","Nodes","5203012","21.000000","36.240752","DDS demands","Known Flow","625966.036679","148307.968273","","0.000000","","","","","-5.359999","-4.793007","-5.359999","","","","","","","D1 PROFILE"
"96106305203011","Nodes","5203011","21.000000","35.962660","DDS demands","Known Flow","625930.589026","148379.940533","","0.000000","","","","","-17.290000","-15.461028","-17.290000","","","","","","","D1 PROFILE"
"96106300170680","Nodes","170680","21.000000","28.370198","DDS demands","Known Flow","625691.062763","148139.249827","","0.000000","","","","","-3.640000","-3.254953","-3.640000","","","","","","","D1 PROFILE"
"96106300170679","Nodes","170679","21.000000","28.375350","DDS demands","Known Flow","625687.144200","148142.212643","","0.000000","","","","","-3.499999","-3.129762","-3.499999","","","","","","","D1 PROFILE"
"96106305203015","Nodes","5203015","21.000000","34.183026","Default Known Flow Node","Known Flow","625782.627352","148011.664588","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300133865","Nodes","133865","21.000000","35.963576","Default Known Flow Node","Known Flow","625935.610057","148377.003703","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300133868","Nodes","133868","21.000000","35.963576","Default Known Flow Node","Known Flow","625951.336306","148383.445781","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300170673","Nodes","170673","21.000000","26.329013","DDS demands","Known Flow","625585.108402","148122.612690","","0.000000","","","","","-5.429999","-4.855602","-5.429999","","","","","","","D1 PROFILE"
"96106300170676","Nodes","170676","21.000000","24.441528","DDS demands","Known Flow","625499.509758","148147.461957","","0.000000","","","","","-9.609999","-8.593433","-9.609999","","","","","","","D1 PROFILE"
"96106300170675","Nodes","170675","21.000000","28.120807","DDS demands","Known Flow","625628.149232","148141.129330","","0.000000","","","","","-6.179999","-5.526266","-6.179999","","","","","","","D1 PROFILE"
"96106300170674","Nodes","170674","21.000000","24.001141","DDS demands","Known Flow","625470.753264","148155.540006","","0.000000","","","","","-5.429999","-4.855602","-5.429999","","","","","","","D1 PROFILE"
"96106300170677","Nodes","170677","21.000000","28.700451","Default Known Flow Node","Known Flow","625669.253199","148093.480581","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300170678","Nodes","170678","21.000000","28.365320","DDS demands","Known Flow","625681.101331","148145.171636","","0.000000","","","","","-5.199999","-4.649932","-5.199999","","","","","","","D1 PROFILE"
"96106300170681","Nodes","170681","21.000000","28.138117","DDS demands","Known Flow","625702.601930","148106.877813","","0.000000","","","","","-5.599999","-5.007620","-5.599999","","","","","","","D1 PROFILE"
"96106300170683","Nodes","170683","21.000000","33.399114","Default Known Flow Node","Known Flow","625724.416355","148045.261447","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106305203016","Nodes","5203016","21.000000","33.418843","DDS demands","Known Flow","625726.921261","148043.405589","","0.000000","","","","","-9.039999","-8.083729","-9.039999","","","","","","","D1 PROFILE"
"96106300170685","Nodes","170685","21.000000","33.021724","DDS demands","Known Flow","625760.546157","148107.025103","","0.000000","","","","","-9.620000","-8.602376","-9.620000","","","","","","","D1 PROFILE"
"96106300170688","Nodes","170688","21.000000","34.898537","Default Known Flow Node","Known Flow","625796.425934","148188.643441","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
