"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64403801227532","Nodes","1227532",21.000000,32.892650,"Default Known Flow Node","Known Flow",272712.965363,701559.968110,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800012754","Nodes","12754",21.000000,33.392313,"Default Known Flow Node","Known Flow",272858.192403,701499.985094,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000003","Nodes","Logger 9232, Bellerive",21.000000,28.899136,"Val Log Cath","Known Flow",272457.112888,701380.253397,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403801575819","Nodes","1575819",21.000000,44.663569,"Default Known Flow Node","Known Flow",272761.465377,701666.218139,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403810000081","Nodes","81",21.000000,33.518412,"Default Known Flow Node","Known Flow",273000.840442,701293.468038,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000017","Nodes","17",21.000000,48.308246,"Default Known Flow Node","Known Flow",272505.531647,701811.293583,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000005","Nodes","ARDOCHBANK RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",273092.266990,701324.794445,,999998.967025,,,,,,,6.357889,7.110000,,"",,,,,,
"64403800000006","Nodes","6",21.000000,34.681649,"Default Known Flow Node","Known Flow",273004.090443,701518.218099,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000004","Nodes","4",21.000000,34.968659,"Default Known Flow Node","Known Flow",272992.657154,701580.615400,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800003006","Nodes","3006",21.000000,49.874865,"Default Known Flow Node","Known Flow",273018.000000,701362.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800003001","Nodes","3001",21.000000,31.537237,"Default Known Flow Node","Known Flow",272793.299286,701375.948312,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800003009","Nodes","3009",21.000000,34.461804,"Default Known Flow Node","Known Flow",272963.000000,701442.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800003002","Nodes","3002",21.000000,31.537237,"Default Known Flow Node","Known Flow",272793.215385,701375.218060,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800003005","Nodes","3005",21.000000,28.466591,"DDS demands","Known Flow",272331.182853,701371.597709,,0.000000,,,,,0.000000,,0.000000,0.000000,,"",,,,,"D1 PROFILE",
