"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64306400000376","Nodes","376",21.000000,46.148757,"DDS demands","Known Flow",308228.103027,667389.494812,,0.000000,,,,,-2.250000,,,,-2.011990,-2.250000,,"",,,,,"D1 PROFILE",,,
"64306400000378","Nodes","378",21.000000,44.667362,"DDS demands","Known Flow",308335.100056,667343.083800,,0.000000,,,,,-6.040000,,,,-5.401076,-6.040000,,"",,,,,"D1 PROFILE",,,
"64306400000379","Nodes","379",21.000000,44.519701,"DDS demands","Known Flow",308304.725048,667281.083783,,0.000000,,,,,-8.220000,,,,-7.350471,-8.220000,,"",,,,,"D1 PROFILE",,,
"64306400000330","Nodes","330",21.000000,48.217765,"DDS demands","Known Flow",308288.600044,667197.583760,,0.000000,,,,,-20.040000,,,,-17.920126,-20.040000,,"",,,,,"D1 PROFILE",,,
"64306400000374","Nodes","374",21.000000,46.716193,"DDS demands","Known Flow",308350.975061,667316.833793,,0.000000,,,,,-13.979999,,,,-12.501165,-13.979999,,"",,,,,"D1 PROFILE",,,
"64306400001092","Nodes","-207737",21.000000,27.429912,"Default Known Flow Node","Known Flow",308343.100059,667100.708734,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000392","Nodes","392",21.000000,25.640229,"DDS demands","Known Flow",308388.225071,667139.583744,,0.000000,,,,,-5.480000,,,,-4.900314,-5.480000,,"",,,,,"D1 PROFILE",,,
"64306400000141","Nodes","141",21.000000,24.367203,"DDS demands","Known Flow",308488.976932,667054.458243,,0.000000,,,,,-4.689999,,,,-4.193881,-4.689999,,"",,,,,"D1 PROFILE",,,
"64306400000391","Nodes","391",21.000000,24.377182,"DDS demands","Known Flow",308478.850096,667107.458736,,0.000000,,,,,-7.690000,,,,-6.876535,-7.690000,,"",,,,,"D1 PROFILE",,,
"64306400000320","Nodes","320",21.000000,47.793865,"DDS demands","Known Flow",308528.475109,667359.958804,,0.000000,,,,,-17.509999,,,,-15.657755,-17.509999,,"",,,,,"D1 PROFILE",,,
"64306400001113","Nodes","-207768",21.000000,24.916305,"Default Known Flow Node","Known Flow",308522.225107,667143.833745,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001108","Nodes","1108, P11127720, LANGTON GARDENS CSEP, 33.69 SCMH",24.000000,24.233206,"CSEP DDS Matched","Known Flow",308500.725102,667054.333721,,0.000000,,,,,,-27.560000,,,-24.644645,-27.560000,,"",,,,,,"DC PROFILE",,
"64306400000135","Nodes","135",21.000000,35.442253,"DDS demands","Known Flow",308775.475176,667192.958759,,0.000000,,,,,-2.959999,,,,-2.646885,-2.959999,,"",,,,,"D1 PROFILE",,,
"64306400000132","Nodes","132",21.000000,37.563261,"DDS demands","Known Flow",308812.725186,667162.458751,,0.000000,,,,,-11.539999,,,,-10.319274,-11.539999,,"",,,,,"D1 PROFILE",,,
"64306400000241","Nodes","241",21.000000,48.235354,"DDS demands","Known Flow",308965.350228,667043.458718,,0.000000,,,,,-11.360000,,,,-10.158315,-11.360000,,"",,,,,"D1 PROFILE",,,
"64306400000248","Nodes","248",21.000000,47.900542,"DDS demands","Known Flow",308906.725212,667035.458716,,0.000000,,,,,-4.880000,,,,-4.363783,-4.880000,,"",,,,,"D1 PROFILE",,,
"64306400001142","Nodes","-207807",21.000000,48.929215,"Default Known Flow Node","Known Flow",308972.225230,667080.083728,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001140","Nodes","-207803",21.000000,49.015097,"Default Known Flow Node","Known Flow",308949.975224,667055.333721,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000011","Nodes","11",21.000000,25.820363,"DDS demands","Known Flow",308698.725155,667477.708836,,0.000000,,,,,-3.140000,,,,-2.807844,-3.140000,,"",,,,,"D1 PROFILE",,,
"64306400000137","Nodes","137",21.000000,29.531410,"DDS demands","Known Flow",308656.600144,667217.333765,,0.000000,,,,,-25.400000,,,,-22.713134,-25.400000,,"",,,,,"D1 PROFILE",,,
