"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64304100000055","Nodes","-55",21.000000,32.516873,"Default Known Flow Node","Known Flow",358032.865000,638566.825000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000171","Nodes","171",21.000000,32.506013,"DDS demands","Known Flow",358110.615000,638605.700000,,0.000000,-5.700000,,,,,,,,-5.097042,-5.700000,,"","C1 PROFILE",,,,,,,
"64304100000172","Nodes","172",21.000000,32.506013,"Default Known Flow Node","Known Flow",358145.115000,638620.950000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304101462478","Nodes","-1462478",21.000000,32.506013,"Default Known Flow Node","Known Flow",358114.115000,638598.950000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304101462487","Nodes","-1462487",21.000000,32.506013,"Default Known Flow Node","Known Flow",358146.615000,638621.575000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304101462468","Nodes","-1462468",21.000000,32.506013,"Default Known Flow Node","Known Flow",358148.240000,638614.075000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000059","Nodes","-59",21.000000,32.513961,"Default Known Flow Node","Known Flow",358051.115000,638579.200000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304101462506","Nodes","-1462506",21.000000,32.516873,"Default Known Flow Node","Known Flow",358029.990000,638568.200000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000070","Nodes","-70",21.000000,32.506142,"Default Known Flow Node","Known Flow",358108.990000,638604.950000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304101462488","Nodes","-1462488",21.000000,32.513912,"DDS demands","Known Flow",358057.615000,638563.075000,,0.000000,,,,,-0.199999,,,,-0.178843,-0.199999,,"",,,,,"D1 PROFILE",,,
