"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64400800002771","Nodes","2771",21.000000,23.890435,"DDS demands","Known Flow",261095.679943,655367.673736,,0.000000,,,,,,,,,,,-68.519997,,,,,,-61.271810,-68.519997,,,"",,,,,,,,,,,"I2 PROFILE",,,,,,
"64400800002770","Nodes","2770",21.000000,24.133296,"Default Known Flow Node","Known Flow",261105.337205,655363.830540,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800000930","Nodes","930",21.000000,31.481300,"DDS demands","Known Flow",263385.962825,654541.830316,,0.000000,,,,,,,-2.480000,,,,,,,,,,-2.217660,-2.480000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800003266","Nodes","3266",21.000000,31.481300,"Default Known Flow Node","Known Flow",263394.895967,654546.933814,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800033985","Nodes","-1464045",21.000000,31.436887,"Default Known Flow Node","Known Flow",263459.962846,654510.330308,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800032487","Nodes","-4991",21.000000,34.274919,"Default Known Flow Node","Known Flow",263539.337867,654955.080429,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001033","Nodes","1033",21.000000,33.983604,"Default Known Flow Node","Known Flow",263563.519603,654885.959466,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800032501","Nodes","-4959",21.000000,33.680053,"DDS demands","Known Flow",263578.337878,654810.080389,,0.000000,,,,,,,-10.199999,,,,,,,,,,-9.121022,-10.199999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800032039","Nodes","-6204",21.000000,28.225894,"Default Known Flow Node","Known Flow",263922.962972,655422.330556,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800000029","Nodes","29",21.000000,28.217430,"DDS demands","Known Flow",263924.253800,655425.055799,,0.000000,,,,,,,-4.500000,,,,,,,,,,-4.023980,-4.500000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800000032","Nodes","32",21.000000,28.195984,"DDS demands","Known Flow",263929.337973,655436.205560,,0.000000,,,,,,,-9.790000,,,,,,,,,,-8.754393,-9.790000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800031311","Nodes","-832",21.000000,27.398979,"Default Known Flow Node","Known Flow",260810.087125,654731.580368,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001021","Nodes","Logger 9887, Peel Park Place",21.000000,27.759399,"Val Log Post","Known Flow",260753.365475,654604.960249,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800031312","Nodes","-828",21.000000,27.891377,"Default Known Flow Node","Known Flow",260734.462104,654544.955317,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001006","Nodes","Logger 9874, Ingenco Factory",21.000000,23.774544,"Val Log Post","Known Flow",261333.268765,655443.930770,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800033517","Nodes","-1630",21.000000,23.755948,"Default Known Flow Node","Known Flow",261324.261599,655421.006725,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800003571","Nodes","3571",21.000000,22.985122,"DDS demands","Known Flow",260361.962003,653868.205133,,0.000000,,,,,,,-13.939999,,,,,,,,,,-12.465396,-13.939999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800001000","Nodes","Logger 9889, Strathnairn Avenue",21.000000,23.102962,"Val Log Cath","Known Flow",260393.822287,653900.313246,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800003572","Nodes","3572",21.000000,23.106562,"DDS demands","Known Flow",260443.587025,653962.455159,,0.000000,,,,,,,-13.300000,,,,-4.530000,,,,,,-15.943905,-17.830000,,,"",,,,,,,"D1 PROFILE",,,,"I2 PROFILE",,,,,,
"64400800031325","Nodes","-788",21.000000,43.082168,"Default Known Flow Node","Known Flow",260727.087399,653730.204518,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001550","Nodes","1550",21.000000,43.531347,"Default Known Flow Node","Known Flow",260702.379411,653706.217896,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
