"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82007700008026","Nodes","8026",21.000000,28.740012,"Default Known Flow Node","Known Flow",473312.781606,111300.297807,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000022","Nodes","22",21.000000,33.268783,"DDS demands","Known Flow",473299.290525,110832.005720,,0.000000,,,,-21.899999,,,,,,-19.583372,-21.899999,,"",,,,"D1 PROFILE",,,,,
"82007700000186","Nodes","186",21.000000,28.740012,"DDS demands","Known Flow",473311.795847,111299.119040,,0.000000,,,,-7.900000,,,,,,-7.064321,-7.900000,,"",,,,"D1 PROFILE",,,,,
"82007700008020","Nodes","8020",21.000000,30.777755,"Default Known Flow Node","Known Flow",472984.788859,111507.440552,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008019","Nodes","8019",21.000000,30.777755,"Default Known Flow Node","Known Flow",472982.892595,111512.215482,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001000","Nodes","1000",21.000000,36.443708,"DDS demands","Known Flow",473354.616060,110754.377439,,0.000000,,,,-6.630000,,,-6.000000,,,-11.293971,-12.630000,,"",,,,"D1 PROFILE",,,"I2 PROFILE",,
"82007700001001","Nodes","1001",21.000000,36.657748,"Default Known Flow Node","Known Flow",473431.912981,110882.313382,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008006","Nodes","8006",21.000000,33.234322,"Default Known Flow Node","Known Flow",473303.896402,110835.930210,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001006","Nodes","1006",21.000000,36.113543,"Default Known Flow Node","Known Flow",472651.026057,109922.355694,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001016","Nodes","1016",21.000000,35.274356,"Default Known Flow Node","Known Flow",472664.603677,109880.368669,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001019","Nodes","1019",21.000000,36.268833,"Default Known Flow Node","Known Flow",472657.130770,109955.683130,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001029","Nodes","1029",21.000000,36.311840,"Default Known Flow Node","Known Flow",472689.547560,109958.239735,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001027","Nodes","1027",21.000000,36.311840,"Default Known Flow Node","Known Flow",472689.915557,109966.902050,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001042","Nodes","1042",21.000000,35.650515,"Default Known Flow Node","Known Flow",472595.513197,109962.729183,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001109","Nodes","1109",21.000000,37.446454,"Default Known Flow Node","Known Flow",473454.213987,110570.691297,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001131","Nodes","1131",21.000000,35.453863,"Default Known Flow Node","Known Flow",473131.388456,110772.285785,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001139","Nodes","1139",21.000000,32.866026,"Default Known Flow Node","Known Flow",473313.822190,111010.683882,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001145","Nodes","1145",21.000000,32.957031,"Default Known Flow Node","Known Flow",473314.074801,111033.150913,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700001149","Nodes","1149",21.000000,33.210038,"DDS demands","Known Flow",473307.141807,110838.695493,,0.000000,,,,-5.670000,,,,,,-5.070216,-5.670000,,"",,,,"D1 PROFILE",,,,,
"82007700001169","Nodes","1169",21.000000,32.897627,"Default Known Flow Node","Known Flow",473379.748278,110983.694497,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000004","Nodes","4",21.000000,44.141753,"Default Known Flow Node","Known Flow",473084.904600,110595.487270,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006009","Nodes","6009",21.000000,32.905747,"Default Known Flow Node","Known Flow",472811.459812,109617.603038,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006012","Nodes","6012",21.000000,35.676443,"Default Known Flow Node","Known Flow",472589.746752,109934.499124,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006014","Nodes","6014",21.000000,35.499451,"Default Known Flow Node","Known Flow",472648.330768,109897.081114,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006016","Nodes","6016",21.000000,33.114147,"Default Known Flow Node","Known Flow",472846.496822,109694.303059,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006010","Nodes","6010",21.000000,32.992916,"Default Known Flow Node","Known Flow",472814.172813,109660.857050,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006019","Nodes","6019",21.000000,35.453904,"Default Known Flow Node","Known Flow",472497.467727,110114.727173,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006021","Nodes","6021",21.000000,35.274356,"Default Known Flow Node","Known Flow",472663.899772,109879.736109,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006037","Nodes","6037",21.000000,34.371533,"Default Known Flow Node","Known Flow",472732.505791,109808.082090,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006025","Nodes","6025",21.000000,34.684062,"Default Known Flow Node","Known Flow",472679.799243,110211.882709,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006027","Nodes","6027",21.000000,33.012342,"Default Known Flow Node","Known Flow",472763.554799,109704.511062,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700006034","Nodes","6034",21.000000,36.311840,"Default Known Flow Node","Known Flow",472689.379779,109959.629131,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
