"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82006300000336","Nodes","336","21.000000","34.375232","DDS demands","Known Flow","433573.590575","87901.050080","","0.000000","","","","","","","-5.489999","","","","-4.909256","-5.489999","","","","","","","","","D1 PROFILE","","",""
"82006300000380","Nodes","380","21.000000","28.817735","DDS demands","Known Flow","433123.818657","87263.291554","","0.000000","","","","","","","-0.499999","","","","-0.447108","-0.499999","","","","","","","","","D1 PROFILE","","",""
"82006300000633","Nodes","633","21.000000","28.804796","DDS demands","Known Flow","433100.367545","87261.436212","","0.000000","","","","","","","-2.059999","","","","-1.842088","-2.059999","","","","","","","","","D1 PROFILE","","",""
"82006300000231","Nodes","231","21.000000","28.879069","DDS demands","Known Flow","433072.601030","87259.791809","","0.000000","","","","","","","-17.729999","","","","-15.854482","-17.729999","","","","","","","","","D1 PROFILE","","",""
"82006300000524","Nodes","524","21.000000","37.763821","DDS demands","Known Flow","432603.769817","86960.141347","","0.000000","","","","","","","-3.219999","","","","-2.879381","-3.219999","","","","","","","","","D1 PROFILE","","",""
"82006300000306","Nodes","306","21.000000","24.310074","DDS demands","Known Flow","432881.609745","87690.305339","","0.000000","","","","-2.279999","","","-8.569999","","","","-9.702263","-10.849999","","","","","","C4 PROFILE","","","D1 PROFILE","","",""
"82006300000704","Nodes","704","21.000000","23.972220","DDS demands","Known Flow","432845.558849","87705.964569","","0.000000","","","","","","","-0.550000","","","","-0.491819","-0.550000","","","","","","","","","D1 PROFILE","","",""
"82006300000715","Nodes","715","21.000000","23.936738","Default Known Flow Node","Known Flow","432837.847169","87710.577243","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000230","Nodes","CSEP, P00055915, FORT WARDEN, -84.83 SCMH","25.000000","24.706027","CSEP DDS Matched","Known Flow","432551.850857","87627.702054","","0.000000","","","","","","-6.370000","","-78.459997","","","-75.856499","-84.829999","","","","","","","","CT PROFILE","","DC PROFILE","",""
"82006300010658","Nodes","10658","21.000000","25.042391","Default Known Flow Node","Known Flow","432877.992003","87509.008680","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000098","Nodes","98","21.000000","32.959932","DDS demands","Known Flow","433243.868529","87466.963424","","0.000000","","","","","","","-20.569998","","","","-18.394061","-20.569998","","","","","","","","","D1 PROFILE","","",""
"82006300000708","Nodes","708","21.000000","32.955056","Default Known Flow Node","Known Flow","433239.056441","87467.071954","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000310","Nodes","310","21.000000","32.900505","DDS demands","Known Flow","433190.994031","87457.307008","","0.000000","","","","","","","-3.970000","","","","-3.550045","-3.970000","","","","","","","","","D1 PROFILE","","",""
"82006300000488","Nodes","488","21.000000","33.726729","Default Known Flow Node","Known Flow","433374.266081","87484.900016","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000489","Nodes","489","21.000000","33.693144","DDS demands","Known Flow","433378.368158","87533.376732","","0.000000","","","","","","","-10.390000","","","","-9.290924","-10.390000","","","","","","","","","D1 PROFILE","","",""
"82006300000667","Nodes","667","21.000000","33.691958","Default Known Flow Node","Known Flow","433378.534082","87539.537030","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000312","Nodes","312","21.000000","38.052866","DDS demands","Known Flow","433721.456741","87467.289462","","0.000000","","","","","","","-2.279999","","","","-2.038816","-2.279999","","","","","","","","","D1 PROFILE","","",""
