"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96113000010702","Nodes","10702,","21.000000","29.293369","Default Known Flow Node","Known Flow","560152.168578","145377.566769","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010701","Nodes","P14134960, TUDELEY LANE CSEP, 146.22 SCMH","25.000000","29.186738","CSEP Unmatched","Known Flow","560145.000868","145387.037732","","0.000000","","","","","","","","","","","","","","-36.549998","","-32.683664","-36.549998","","","","","","","","","","","","","","","","DC PROFILE",""
"96113000010698","Nodes","10698,","21.000000","30.096068","Default Known Flow Node","Known Flow","560480.418668","145400.191775","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006805020","Nodes","6805020,","21.000000","30.096068","Default Known Flow Node","Known Flow","560482.293668","145400.066775","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006701182","Nodes","6701182","21.000000","28.542076","DDS demands","Known Flow","560021.793543","145367.691766","","0.000000","-3.880000","","","","","","","","","-23.179999","","","","","","-24.197535","-27.059999","","","C1 PROFILE","","","","","","","","","I2 PROFILE","","","","",""
"96113000010699","Nodes","10699,","21.000000","29.167279","Default Known Flow Node","Known Flow","560141.792186","145387.153152","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010685","Nodes","10685,","21.000000","29.210684","Default Known Flow Node","Known Flow","560164.418582","145476.191795","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010684","Nodes","10684,","21.000000","29.210684","Default Known Flow Node","Known Flow","560164.305460","145478.567362","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010683","Nodes","10683,","21.000000","29.167279","Default Known Flow Node","Known Flow","560175.168585","145478.816796","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010687","Nodes","10687,","21.000000","29.167279","Default Known Flow Node","Known Flow","560127.418572","145474.566795","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010686","Nodes","10686,","21.000000","30.610474","Default Known Flow Node","Known Flow","560402.918647","145475.816795","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010688","Nodes","10688,","21.000000","30.471718","Default Known Flow Node","Known Flow","560432.793655","145474.441795","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006805026","Nodes","6805026,","21.000000","28.829308","Default Known Flow Node","Known Flow","560912.168785","145346.441760","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010703","Nodes","10703,","21.000000","28.872978","Default Known Flow Node","Known Flow","560945.168794","145344.316760","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006805025","Nodes","6805025,","21.000000","28.392930","DDS demands","Known Flow","560871.168774","145430.316783","","0.000000","","","","","","-1.570000","","","","","","","","","","-1.403922","-1.570000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010704","Nodes","10704,","21.000000","25.391185","Default Known Flow Node","Known Flow","561527.418953","145343.566759","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006805028","Nodes","6805028,","21.000000","25.391185","DDS demands","Known Flow","561567.418964","145327.816755","","0.000000","","","","","","-8.669999","","","","","","","","","","-7.752868","-8.669999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010400","Nodes","10400,","21.000000","22.707917","Default Known Flow Node","Known Flow","562221.294141","145002.316666","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010398","Nodes","10398,","21.000000","23.140919","Default Known Flow Node","Known Flow","562122.669115","145427.691782","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010399","Nodes","10399,","21.000000","22.760931","DDS demands","Known Flow","562155.964242","145120.596729","","0.000000","","","","","","-8.189999","","","","","","","","","","-7.323644","-8.189999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113006805030","Nodes","6805030,","21.000000","22.709169","DDS demands","Known Flow","562224.669142","145003.941667","","0.000000","","","","-8.520000","","-10.100000","","","","","","","","","","-16.650337","-18.620000","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","","",""
