"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96108905506319","Nodes","","21.000000","34.198137","Default Known Flow Node","Known Flow","614262.375000","159986.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900131751","Nodes","","21.000000","34.201607","Default Known Flow Node","Known Flow","614262.875000","159985.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506082","Nodes","","21.000000","34.188761","DDS demands","Known Flow","614261.125000","159985.875000","","0.000000","","","","","-25.430000","","","-22.739961","-25.430000","","","","","","","D1 PROFILE","",""
"96108905506085","Nodes","","21.000000","39.175817","DDS demands","Known Flow","614078.618664","159764.916645","","0.000000","","-95.699994","","","","","","-85.576647","-95.699994","","","","C2 PROFILE","","","","",""
"96108905506087","Nodes","","21.000000","39.063732","Default Known Flow Node","Known Flow","614160.556012","159640.571419","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506330","Nodes","","21.000000","34.947873","Default Known Flow Node","Known Flow","614266.125000","159834.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102431","Nodes","","21.000000","34.947873","Default Known Flow Node","Known Flow","614239.125000","159844.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102434","Nodes","","21.000000","34.448444","Default Known Flow Node","Known Flow","614277.500000","159858.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102435","Nodes","","21.000000","34.073928","DDS demands","Known Flow","614298.250000","159856.375000","","0.000000","","-62.990001","","","","","","-56.326786","-62.990001","","","","C2 PROFILE","","","","",""
"96108900131749","Nodes","","21.000000","34.188761","Default Known Flow Node","Known Flow","614261.500000","159985.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
