"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64402900003105","Nodes","-593755",21.000000,23.811925,"Default Known Flow Node","Known Flow",280758.467553,680703.587435,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003008","Nodes","-263236",21.000000,22.546819,"Default Known Flow Node","Known Flow",280800.342564,680654.587422,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003104","Nodes","-593753",21.000000,22.546819,"Default Known Flow Node","Known Flow",280800.342564,680662.712424,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003012","Nodes","-263244",21.000000,24.208312,"Default Known Flow Node","Known Flow",280961.717608,680736.712444,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003023","Nodes","-263296",21.000000,24.169478,"Default Known Flow Node","Known Flow",280908.217593,680990.587513,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003016","Nodes","-263256",21.000000,24.208312,"Default Known Flow Node","Known Flow",280965.342609,680764.587452,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003015","Nodes","-263254",21.000000,24.208312,"Default Known Flow Node","Known Flow",280963.467608,680764.462452,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003108","Nodes","-593758",21.000000,24.208312,"Default Known Flow Node","Known Flow",280963.592608,680762.962451,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003006","Nodes","-263229",21.000000,23.785094,"Default Known Flow Node","Known Flow",280986.092615,680597.712406,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003009","Nodes","-263240",21.000000,24.144180,"Default Known Flow Node","Known Flow",280998.092618,680706.587436,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
