"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304500003124","Nodes","3124","21.000000","45.143800","Default Known Flow Node","Known Flow","305023.599155","666270.333508","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500000032","Nodes","32","21.000000","25.307855","DDS demands","Known Flow","302264.598405","668671.334161","","0.000000","","","","","","","-14.290000","","","","","","","","-12.778373","-14.290000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304502912297","Nodes","-2912297","21.000000","25.177957","Default Known Flow Node","Known Flow","302186.714954","668643.732938","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500224212","Nodes","-224212","21.000000","24.862623","Default Known Flow Node","Known Flow","302808.348553","668463.959105","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500879875","Nodes","-879875","21.000000","46.386669","Default Known Flow Node","Known Flow","303512.723744","667483.708838","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500003104","Nodes","3104","21.000000","46.496712","Default Known Flow Node","Known Flow","303545.092328","667499.620010","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500002514","Nodes","2514","21.000000","46.963369","Default Known Flow Node","Known Flow","303622.848774","667551.208856","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500934263","Nodes","-934263","21.000000","42.107582","Default Known Flow Node","Known Flow","304696.349066","669178.334299","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500003062","Nodes","3062","21.000000","41.794578","DDS demands","Known Flow","304620.724046","669117.209282","","0.000000","","","","","","","-8.680000","","","","","","","","-7.761811","-8.680000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304502920208","Nodes","","21.000000","31.867285","Point Loads","Known Flow","307027.224701","668014.083982","","0.000000","","","","","","","","","","","","","","","-21.282385","-23.799999","","","","","","","","","","","","","","","",""
"64304500003036","Nodes","3036","21.000000","31.883395","DDS demands","Known Flow","307026.224700","668004.208980","","0.000000","","","","","","","-23.389999","","","","","","","","-20.915755","-23.389999","","","","","","","","","D1 PROFILE","","","","","","",""
