"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"94120700000075","Nodes","75",21.000000,24.847490,"Default Known Flow Node","Known Flow",555376.917279,98169.803923,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507104","Nodes","9507104",21.000000,23.973381,"DDS demands","Known Flow",555377.167279,98375.678979,,0.000000,,,,,-0.860000,,-0.769027,-0.860000,,"",,,,,"",
"94120700000030","Nodes","30",21.000000,30.037919,"Default Known Flow Node","Known Flow",555805.542396,98007.178879,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120701462478","Nodes","1462478",21.000000,24.457970,"DDS demands","Known Flow",555877.292415,97990.178874,,0.000000,,,,,-6.170000,,-5.517324,-6.170000,,"",,,,,"D1 PROFILE",
"94120709507084","Nodes","9507084",21.000000,24.711376,"DDS demands","Known Flow",555915.042426,98019.553882,,0.000000,,,,,-5.469999,,-4.891371,-5.469999,,"",,,,,"",
"94120709507066","Nodes","9507066",21.000000,24.864458,"DDS demands","Known Flow",555998.667562,97983.986813,,0.000000,,,,,-9.770000,,-8.736509,-9.770000,,"",,,,,"D1 PROFILE",
"94120709507083","Nodes","9507083",21.000000,24.891514,"Default Known Flow Node","Known Flow",555932.542430,98036.303887,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507028","Nodes","9507028",21.000000,25.014185,"DDS demands","Known Flow",555556.042328,98204.553932,,0.000000,0.000000,,,,-17.309999,,-15.478911,-17.309999,,"","C1 PROFILE",,,,"D1 PROFILE",
"94120700000081","Nodes","81",21.000000,24.883274,"Default Known Flow Node","Known Flow",555569.542332,98202.928932,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000050","Nodes","50",21.000000,29.960129,"Default Known Flow Node","Known Flow",555667.542358,98101.303904,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507034","Nodes","9507034",21.000000,29.960129,"DDS demands","Known Flow",555664.167357,98099.053904,,0.000000,,,,,-30.559998,,-27.327298,-30.559998,,"",,,,,"D1 PROFILE",
"94120700000052","Nodes","52",21.000000,25.131833,"Default Known Flow Node","Known Flow",555932.042430,98102.928905,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000046","Nodes","46",21.000000,24.794190,"DDS demands","Known Flow",555512.292316,98074.303897,,0.000000,,,,,-1.169999,,-1.046234,-1.169999,,"",,,,,"D1 PROFILE",
"94120709507115","Nodes","9507115",21.000000,25.087533,"DDS demands","Known Flow",555520.042318,98102.553905,,0.000000,,,,,-7.730000,,-6.912304,-7.730000,,"",,,,,"D1 PROFILE",
"94120701462511","Nodes","1462511",21.000000,24.811956,"Default Known Flow Node","Known Flow",555862.792411,98016.428881,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000041","Nodes","41",21.000000,24.943761,"Default Known Flow Node","Known Flow",555889.917419,98039.178887,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120701462470","Nodes","1462470",21.000000,24.943761,"Default Known Flow Node","Known Flow",555881.167416,98041.303888,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507082","Nodes","9507082",21.000000,24.943761,"Default Known Flow Node","Known Flow",555886.292418,98044.053889,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000104","Nodes","104",21.000000,23.947419,"DDS demands","Known Flow",555592.667338,98306.553960,,0.000000,,,,,-7.030000,,-6.286352,-7.030000,,"",,,,,"D1 PROFILE",
