"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96108400000808","Nodes","HIGHLANDS CRESCENT DG,","21.000000","49.999970","Default Known Pressure Node","Known Pressure","609253.556938","127708.061961","","0.000000","","","","","","6.545675","7.320000","","","","","","",""
"96108400000809","Nodes","809,","21.000000","49.730532","DDS demands","Known Flow","609253.431938","127769.436977","","0.000000","","","-7.320000","","","-6.545675","-7.320000","","","","","D1 PROFILE","",""
"96108400000810","Nodes","810,","21.000000","49.565088","DDS demands","Known Flow","609186.737240","127768.517464","","0.000000","","","-3.569999","","","-3.192357","-3.569999","","","","","D1 PROFILE","",""
"96108400000811","Nodes","WILLOWBANK CLOSE DG,","21.000000","49.999998","Default Known Pressure Node","Known Pressure","609197.056923","127667.811950","","9999.989670","","","","","","13.091349","14.639997","","","","","","",""
"96108400000812","Nodes","812,","21.000000","48.941835","DDS demands","Known Flow","609095.557324","127684.289387","","0.000000","","","-4.190000","","","-3.746773","-4.190000","","","","","D1 PROFILE","",""
"96108400000817","Nodes","817,","21.000000","49.160507","DDS demands","Known Flow","609125.950629","127668.840856","","0.000000","","","-2.150000","","","-1.922568","-2.150000","","","","","D1 PROFILE","",""
"96108400000814","Nodes","814,","21.000000","48.925578","DDS demands","Known Flow","609107.647478","127641.134251","","0.000000","","","-2.190000","","","-1.958337","-2.190000","","","","","D1 PROFILE","",""
"96108400000816","Nodes","816,","21.000000","48.813813","DDS demands","Known Flow","609092.740008","127784.037011","","0.000000","","","-2.009999","","","-1.797377","-2.009999","","","","","D1 PROFILE","",""
"96108400000815","Nodes","815,","21.000000","48.802898","DDS demands","Known Flow","609092.303138","127793.284090","","0.000000","","","-4.179999","","","-3.737830","-4.179999","","","","","D1 PROFILE","",""
"96108400000813","Nodes","LINKS CRESCENT DG,","21.000000","49.999970","Default Known Pressure Node","Known Pressure","609159.056912","127634.061940","","0.000000","","","","","","18.295697","20.460000","","","","","","",""
"96108400000001","Nodes","1,","21.000000","28.231382","DDS demands","Known Flow","608441.629499","127186.688640","","0.000000","","","-9.149999","","","-8.182093","-9.149999","","","","","D1 PROFILE","",""
"96108400002816","Nodes","2816,","21.000000","29.728699","Default Known Flow Node","Known Flow","609300.514997","128474.964776","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400002843","Nodes","2843,","21.000000","29.975018","Default Known Flow Node","Known Flow","609481.452046","128248.168715","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
