"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96121909710089","Nodes","9710089","21.000000","59.119133","DDS demands","Known Flow","582813.205000","125555.032812","","0.000000","","","","","","-7.629999","","","","-6.822882","-7.629999","","","","","","","","D1 PROFILE","","",""
"96121909710052","Nodes","9710052","21.000000","58.131405","DDS demands","Known Flow","583173.705000","125867.032812","","0.000000","","","","","","-7.150000","","","","-6.393657","-7.150000","","","","","","","","D1 PROFILE","","",""
"96121909710053","Nodes","9710053","21.000000","58.047848","DDS demands","Known Flow","583285.455000","125967.032812","","0.000000","","","","","","-1.230000","","","","-1.099888","-1.230000","","","","","","","","D1 PROFILE","","",""
"96121909710093","Nodes","9710093","21.000000","57.965262","Default Known Flow Node","Known Flow","583301.205000","125995.532812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710095","Nodes","9710095","21.000000","57.962044","DDS demands","Known Flow","583347.330000","125961.400000","","0.000000","","","","","","-0.860000","","","","-0.769027","-0.860000","","","","","","","","D1 PROFILE","","",""
"96121909710117","Nodes","9710117","21.000000","62.547798","DDS demands","Known Flow","583312.080000","124750.782812","","0.000000","","","","","","-3.250000","","","","-2.906208","-3.250000","","","","","","","","D1 PROFILE","","",""
"96121900004205","Nodes","Logger 4205","21.000000","60.968891","Val Log Post","Known Flow","582621.517500","125239.400000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710054","Nodes","9710054","21.000000","61.056454","DDS demands","Known Flow","582611.080000","125230.962500","","0.000000","","","","","","-0.730000","","","","-0.652779","-0.730000","","","","","","","","D1 PROFILE","","",""
"96121900004204","Nodes","Logger 4204","21.000000","58.647438","Val Log Post","Known Flow","582980.955000","125686.032812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121900004203","Nodes","Logger 4203","21.000000","59.000333","Val Log Post","Known Flow","582611.642500","125547.212500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710078","Nodes","9710078","21.000000","58.971866","DDS demands","Known Flow","582591.080000","125580.900000","","0.000000","","","","","","-3.260000","","","","-2.915150","-3.260000","","","","","","","","D1 PROFILE","","",""
"96121900004202","Nodes","Logger 4202","21.000000","62.892198","Val Log Post","Known Flow","582563.330000","124865.806250","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710111","Nodes","9710111","21.000000","58.189214","DDS demands","Known Flow","583063.705000","125783.400000","","0.000000","","","-3.010000","","","-26.279999","","","","-26.191643","-29.289998","","","","","C3 PROFILE","","","D1 PROFILE","","",""
"96121909710109","Nodes","9710109","21.000000","57.665697","DDS demands","Known Flow","583043.080000","125806.532812","","0.000000","","","","","","-3.069999","","","","-2.745248","-3.069999","","","","","","","","D1 PROFILE","","",""
"96121909710110","Nodes","9710110","21.000000","58.089055","Default Known Flow Node","Known Flow","583059.705000","125787.782812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710108","Nodes","9710108","21.000000","57.965262","Default Known Flow Node","Known Flow","583311.080000","126013.650000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
