"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-PL)"
"62505100000053","Nodes","53","21.000000","28.968898","DDS demands","Known Flow","234406.325000","677648.335000","","0.000000","","","","","-7.909999","","","","-7.073263","-7.909999","","","","","","","D1 PROFILE","","",""
"62505100003073","Nodes","3073","21.000000","29.172009","Default Known Flow Node","Known Flow","234397.700000","677655.960000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000050","Nodes","50","21.000000","30.051806","DDS demands","Known Flow","234372.005248","677703.845652","","0.000000","","","","","-3.950000","","","","-3.532160","-3.950000","","","","","","","D1 PROFILE","","",""
"62505100000170","Nodes","170","21.000000","28.016241","DDS demands","Known Flow","234320.075000","677598.085000","","0.000000","-4.219999","","","","-11.439999","","","","-14.003451","-15.659998","","","C1 PROFILE","","","","D1 PROFILE","","",""
"62505100000169","Nodes","169","21.000000","31.468580","Default Known Flow Node","Known Flow","234201.825000","677681.210000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000059","Nodes","59","21.000000","32.738248","DDS demands","Known Flow","234197.700000","677695.960000","","0.000000","-2.440000","","","","-12.279999","","","","-13.162887","-14.720000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"62505100003077","Nodes","3077","21.000000","31.720536","Default Known Flow Node","Known Flow","234203.325000","677692.085000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000080","Nodes","80","21.000000","32.734155","DDS demands","Known Flow","234186.700000","677680.085000","","0.000000","","","","","-1.749999","","","","-1.564881","-1.749999","","","","","","","D1 PROFILE","","",""
"62505100000139","Nodes","139","21.000000","32.963294","DDS demands","Known Flow","234162.825000","677724.960000","","0.000000","","","","","-7.649999","","","","-6.840766","-7.649999","","","","","","","D1 PROFILE","","",""
"62505100003078","Nodes","3078","21.000000","32.963294","Default Known Flow Node","Known Flow","234129.200000","677704.085000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
