"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504300000209","Nodes","209",21.000000,29.303467,"DDS demands","Known Flow",220478.000000,647460.875000,,0.000000,,,,,-6.070000,,,,,-5.427902,-6.070000,,"",,,,,"D1 PROFILE",,,,
"62504300000208","Nodes","208",21.000000,29.487293,"DDS demands","Known Flow",220387.875000,647435.000000,,0.000000,,,,,-5.780000,,,,,-5.168579,-5.780000,,"",,,,,"D1 PROFILE",,,,
"625043-90073","Nodes","-90073",21.000000,30.884831,"Default Known Flow Node","Known Flow",219971.625000,647305.250000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000025","Nodes","25",21.000000,31.692286,"DDS demands","Known Flow",220126.375000,647399.875000,,0.000000,,,-4.849999,-8.619999,-12.850000,,,-2.209999,,-25.512037,-28.530000,,"",,,"C3  PROFILE","C4 PROFILE","D1 PROFILE",,,"I2 PROFILE",
"62504300000299","Nodes","299",21.000000,32.832775,"DDS demands","Known Flow",220115.500000,647446.250000,,0.000000,,,,,-2.929999,,,,,-2.620058,-2.929999,,"",,,,,"D1 PROFILE",,,,
"62504300000127","Nodes","127",21.000000,29.859941,"DDS demands","Known Flow",220400.500000,647495.625000,,0.000000,,,,,-2.049999,,,,,-1.833146,-2.049999,,"",,,,,"D1 PROFILE",,,,
"625043-168778","Nodes","-168778",21.000000,32.836449,"Default Known Flow Node","Known Flow",220113.375000,647445.375000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000155","Nodes","155",21.000000,30.772464,"DDS demands","Known Flow",220195.875000,647459.875000,,0.000000,,,,,-29.110001,,,,,-26.030684,-29.110001,,"",,,,,"D1 PROFILE",,,,
"62504300000156","Nodes","156",21.000000,29.327302,"DDS demands","Known Flow",220334.250000,647326.875000,,0.000000,,,,,-14.909999,,,,,-13.332789,-14.909999,,"",,,,,"D1 PROFILE",,,,
"625043-168779","Nodes","-168779",21.000000,32.836449,"Default Known Flow Node","Known Flow",220113.750000,647442.875000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
