"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505200000136","Nodes","136","21.000000","27.743629","Default Known Flow Node","Known Flow","253536.004145","637416.899656","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000156","Nodes","156","21.000000","27.743629","Default Known Flow Node","Known Flow","253528.129143","637415.774656","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000076","Nodes","76","21.000000","29.867001","DDS demands","Known Flow","253683.621185","637422.682658","","0.000000","","","","","-3.240000","","","","","-2.897266","-3.240000","","","","","","","D1 PROFILE","","","",""
"62505200000170","Nodes","170","21.000000","29.974253","DDS demands","Known Flow","253690.502187","637433.711661","","0.000000","","","","","-2.150000","","","","","-1.922568","-2.150000","","","","","","","D1 PROFILE","","","",""
"62505200000130","Nodes","130","21.000000","29.520353","DDS demands","Known Flow","253733.395199","637472.105672","","0.000000","","","","","-10.090000","","","","","-9.022658","-10.090000","","","","","","","D1 PROFILE","","","",""
"62505200000129","Nodes","129","21.000000","29.466094","DDS demands","Known Flow","253677.878079","637461.291552","","0.000000","","","","","-3.099999","","","","","-2.772075","-3.099999","","","","","","","D1 PROFILE","","","",""
"62505200000112","Nodes","112","21.000000","29.875420","DDS demands","Known Flow","253625.336170","637394.365650","","0.000000","","","","","-5.359999","","","","","-4.793007","-5.359999","","","","","","","D1 PROFILE","","","",""
"62505200000061","Nodes","61","21.000000","29.809202","DDS demands","Known Flow","253576.751156","637365.331642","","0.000000","","","","","-11.660000","","","-3.299999","","-13.377499","-14.959999","","","","","","","D1 PROFILE","","","I2 PROFILE",""
"62505200000155","Nodes","155","21.000000","27.877061","Default Known Flow Node","Known Flow","253551.005149","637420.898658","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000062","Nodes","62","21.000000","30.263166","DDS demands","Known Flow","253520.939141","637342.217636","","0.000000","","","","","-11.790000","","","","","-10.542829","-11.790000","","","","","","","D1 PROFILE","","","",""
