"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62502000000329","Nodes","329",21.000000,32.562995,"DDS demands","Known Flow",249342.750000,635903.125000,,0.000000,,,,,-2.190000,,,,,,,-1.958337,-2.190000,,"",,,,,"D1 PROFILE",,,,,,
"625020-169859","Nodes","-169859",21.000000,32.186219,"Default Known Flow Node","Known Flow",249158.500000,636352.750000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169864","Nodes","-169864",21.000000,32.186219,"Default Known Flow Node","Known Flow",249185.000000,636342.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169855","Nodes","-169855",21.000000,32.110912,"Default Known Flow Node","Known Flow",249144.500000,636279.250000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169863","Nodes","-169863",21.000000,32.186219,"Default Known Flow Node","Known Flow",249177.875000,636322.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169868","Nodes","-169868",21.000000,32.186219,"Default Known Flow Node","Known Flow",249195.625000,636351.375000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169866","Nodes","-169866",21.000000,32.172782,"Default Known Flow Node","Known Flow",249186.750000,636297.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169877","Nodes","-169877",21.000000,32.172782,"Default Known Flow Node","Known Flow",249221.750000,636340.375000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169869","Nodes","-169869",21.000000,32.509301,"Default Known Flow Node","Known Flow",249196.500000,636422.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169867","Nodes","-169867",21.000000,32.552840,"Default Known Flow Node","Known Flow",249195.000000,636426.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169872","Nodes","-169872",21.000000,32.552840,"Default Known Flow Node","Known Flow",249202.750000,636425.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
