"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003700000211","Nodes","211","21.000000","30.371152","DDS demands","Known Flow","470962.848309","205342.364085","","0.000000","","","","","","-5.980000","","","","","-5.347423","-5.980000","","","","","","","","D1 PROFILE","","","",""
"80003700000192","Nodes","192","21.000000","31.917009","Default Known Flow Node","Known Flow","471193.796372","205014.403996","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000646","Nodes","646","21.000000","32.240905","Default Known Flow Node","Known Flow","471326.994326","205035.828441","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000722","Nodes","722","21.000000","31.222262","DDS demands","Known Flow","471492.791453","205042.170004","","0.000000","-11.190000","","","","","","","-43.339998","","","-48.761699","-54.529998","","","C1 PROFILE","","","","","","","I2 PROFILE","",""
"80003700000212","Nodes","212","21.000000","31.098824","DDS demands","Known Flow","471004.889754","205272.558457","","0.000000","","","","","","-15.259999","","","","","-13.645765","-15.259999","","","","","","","","D1 PROFILE","","","",""
"80003700000168","Nodes","168","21.000000","32.880601","DDS demands","Known Flow","471270.603393","205350.125088","","0.000000","","","","","","-3.119999","","","","","-2.789959","-3.119999","","","","","","","","D1 PROFILE","","","",""
"80003700000160","Nodes","160","21.000000","33.155732","DDS demands","Known Flow","471390.989973","205381.094550","","0.000000","","","","","","-22.230000","","","","","-19.878464","-22.230000","","","","","","","","D1 PROFILE","","","",""
"80003700000593","Nodes","593","21.000000","29.177130","DDS demands","Known Flow","471390.236426","205218.938052","","0.000000","-6.000000","","-2.049999","","","-2.160000","","-15.460000","","","-22.954573","-25.670000","","","C1 PROFILE","","C3 PROFILE","","","D1 PROFILE","","I2 PROFILE","",""
"80003700009286","Nodes","-92386","21.000000","28.692103","Default Known Flow Node","Known Flow","471409.196498","205215.598350","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009089","Nodes","-149763","21.000000","32.909701","Default Known Flow Node","Known Flow","471152.621361","205238.292057","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
