"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80061100000092","Nodes",,21.000000,37.889078,"Default Known Flow Node","Known Flow",439431.705000,217331.779730,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000096","Nodes",,21.000000,52.496463,"Default Known Flow Node","Known Flow",439092.310276,217317.457088,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000090","Nodes",,21.000000,46.210840,"Default Known Flow Node","Known Flow",439471.624926,217631.888089,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000082","Nodes",,21.000000,33.638807,"Default Known Flow Node","Known Flow",439549.992786,217766.413607,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000089","Nodes",,21.000000,33.638807,"Default Known Flow Node","Known Flow",439554.660976,217763.807079,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000091","Nodes",,21.000000,46.210840,"Default Known Flow Node","Known Flow",439480.870587,217650.300826,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000093","Nodes",,21.000000,37.889078,"Default Known Flow Node","Known Flow",439467.950056,217326.815768,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000094","Nodes",,21.000000,27.627644,"Default Known Flow Node","Known Flow",439753.807148,217049.493593,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000097","Nodes",,21.000000,52.496463,"Default Known Flow Node","Known Flow",439088.749164,217266.398676,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000098","Nodes",,21.000000,44.264322,"Default Known Flow Node","Known Flow",439159.741990,217141.470603,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000099","Nodes",,21.000000,44.264322,"Default Known Flow Node","Known Flow",439067.590986,217053.515975,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000112","Nodes",,21.000000,36.583500,"Default Known Flow Node","Known Flow",439344.983933,216970.506119,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000100","Nodes",,21.000000,44.781342,"Default Known Flow Node","Known Flow",439293.705000,217375.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000111","Nodes","P11127807, DOGGETTS HOUSE, CHURCHFIELDS, 9.42",22.999998,43.292136,"CSEP Unmatched","Known Flow",439194.000000,217093.000000,,,,,,,,-9.419999,-8.423532,-9.419999,,,,,,,,"DC PROFILE"
"80061100000102","Nodes",,21.000000,44.781342,"Default Known Flow Node","Known Flow",439304.955000,217369.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000104","Nodes",,21.000000,46.422057,"Default Known Flow Node","Known Flow",439356.955000,217482.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000109","Nodes",,21.000000,35.820661,"Default Known Flow Node","Known Flow",439564.330000,217198.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000110","Nodes",,21.000000,40.234243,"Default Known Flow Node","Known Flow",439577.205000,217436.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000107","Nodes",,21.000000,45.776534,"Default Known Flow Node","Known Flow",439420.205000,217584.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000103","Nodes",,21.000000,48.088420,"Default Known Flow Node","Known Flow",439330.205000,217573.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000105","Nodes",,21.000000,46.465027,"Default Known Flow Node","Known Flow",439373.580000,217651.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000106","Nodes",,21.000000,45.776534,"Default Known Flow Node","Known Flow",439413.455000,217588.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000108","Nodes",,21.000000,38.060625,"Default Known Flow Node","Known Flow",439433.580000,217738.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"800611-0111","Nodes","-0111",21.000000,43.217514,"Default Known Flow Node","Known Flow",439212.580000,217086.500000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000436","Nodes",,21.000000,41.996951,"Default Known Flow Node","Known Flow",439534.173750,217477.546875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
