"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80123100000047","Nodes","47","21.000000","30.949752","DDS demands","Known Flow","440449.741219","198167.792099","","0.000000","","","","","-9.430000","","","","","-8.432475","-9.430000","","","","","","","D1 PROFILE","","","",""
"80123100000051","Nodes","51","21.000000","33.383784","DDS demands","Known Flow","440479.560040","198235.098727","","0.000000","","","","","-12.020000","","","","","-10.748499","-12.020000","","","","","","","D1 PROFILE","","","",""
"80123100000055","Nodes","55","21.000000","34.962532","DDS demands","Known Flow","440567.011011","198207.241490","","0.000000","","","","","-5.599999","","","","","-5.007620","-5.599999","","","","","","","D1 PROFILE","","","",""
"80123100000060","Nodes","60","21.000000","39.043328","DDS demands","Known Flow","440726.387038","198150.117711","","0.000000","","","","","-3.710000","","","","","-3.317548","-3.710000","","","","","","","D1 PROFILE","","","",""
"80123100309670","Nodes","309670","21.000000","34.962199","Default Known Flow Node","Known Flow","440573.231153","198204.292668","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100309677","Nodes","309677","21.000000","36.872956","Default Known Flow Node","Known Flow","440667.656333","198311.498431","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000079","Nodes","P00032148, Crabtree Fruit Farm, 20.40","26.000000","37.222920","CSEP DDS Matched","Known Flow","440830.935996","198245.098553","","0.000000","","","","","-3.710000","-12.960000","","","","-14.906612","-16.670000","","","","","","","D1 PROFILE","DC PROFILE","","",""
"80123100000030","Nodes","30","21.000000","28.193592","DDS demands","Known Flow","440392.425573","198508.149721","","0.000000","","","","","-29.460000","","","","","-26.343658","-29.460000","","","","","","","D1 PROFILE","","","",""
"80123100309655","Nodes","309655","21.000000","28.193592","Default Known Flow Node","Known Flow","440402.726994","198511.787227","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000002","Nodes","P08118672, Plots 1-4 Faringdon Road, 12.09","22.999998","26.744919","CSEP DDS Matched","Known Flow","439640.395786","198070.442107","","0.000000","","","","","-2.679999","-12.090000","","","","-13.207598","-14.770000","","","","","","","D1 PROFILE","DC PROFILE","","",""
