"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000320","Nodes","320","21.000000","38.165604","Default Known Flow Node","Known Flow","454462.676819","252751.143986","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000321","Nodes","321","21.000000","38.296926","Default Known Flow Node","Known Flow","454405.617129","252762.460117","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000157","Nodes","157","21.000000","37.417103","DDS demands","Known Flow","453581.372580","252774.225992","","0.000000","","","","-7.820000","","","","-6.992784","-7.820000","","","","","","D1 PROFILE","","",""
"80014200000318","Nodes","318","21.000000","36.514993","Default Known Flow Node","Known Flow","453647.136597","252748.343985","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000155","Nodes","155","21.000000","37.857417","DDS demands","Known Flow","453407.529532","252817.449004","","0.000000","","","","-7.450000","","","","-6.661923","-7.450000","","","","","","D1 PROFILE","","",""
"80014200000154","Nodes","154","21.000000","38.189937","DDS demands","Known Flow","453457.200187","252831.349220","","0.000000","","","","-4.169999","","","","-3.728888","-4.169999","","","","","","D1 PROFILE","","",""
"80014200000153","Nodes","153","21.000000","38.251713","DDS demands","Known Flow","453465.576429","252834.914069","","0.000000","","","","-2.450000","","","","-2.190834","-2.450000","","","","","","D1 PROFILE","","",""
"80014200000147","Nodes","147","21.000000","38.084949","DDS demands","Known Flow","453488.959175","252896.873645","","0.000000","","","","-4.050000","","","","-3.621582","-4.050000","","","","","","D1 PROFILE","","",""
"80014200000146","Nodes","146","21.000000","38.237732","DDS demands","Known Flow","453517.382704","252870.700510","","0.000000","","","","-3.859999","","","","-3.451680","-3.859999","","","","","","D1 PROFILE","","",""
"80014200000145","Nodes","145","21.000000","38.712143","DDS demands","Known Flow","453565.740334","252866.550274","","0.000000","","","","-3.489999","","","","-3.120820","-3.489999","","","","","","D1 PROFILE","","",""
"80014200000148","Nodes","148","21.000000","37.987305","DDS demands","Known Flow","453479.584552","252903.631027","","0.000000","","","","-9.609999","","","","-8.593433","-9.609999","","","","","","D1 PROFILE","","",""
"80014200000149","Nodes","149","21.000000","38.101823","DDS demands","Known Flow","453453.785545","252863.763016","","0.000000","","","","-2.700000","","","","-2.414388","-2.700000","","","","","","D1 PROFILE","","",""
"80014200000037","Nodes","37","21.000000","37.766525","DDS demands","Known Flow","453058.948908","253285.997172","","0.000000","","","","-1.559999","","","","-1.394979","-1.559999","","","","","","D1 PROFILE","","",""
"80014200000039","Nodes","39","21.000000","38.039189","Default Known Flow Node","Known Flow","452565.222497","253385.988924","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000038","Nodes","38","21.000000","37.595694","Default Known Flow Node","Known Flow","452812.001144","253321.668054","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000040","Nodes","40","21.000000","38.089240","Default Known Flow Node","Known Flow","452309.817739","253428.352981","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000041","Nodes","41","21.000000","38.182996","DDS demands","Known Flow","452051.489163","253461.606179","","0.000000","","","","-9.529999","","","","-8.521896","-9.529999","","","","","","D1 PROFILE","","",""
"80014200000099","Nodes","99","21.000000","38.669186","DDS demands","Known Flow","451747.040080","253435.156172","","0.000000","","","","-3.569999","","","","-3.192357","-3.569999","","","","","","D1 PROFILE","","",""
"80014200000136","Nodes","136","21.000000","40.017261","DDS demands","Known Flow","451780.817090","253333.674144","","0.000000","","","","-8.420000","","","","-7.529314","-8.420000","","","","","","D1 PROFILE","","",""
"80014200000840","Nodes","840","21.000000","24.925332","Default Known Flow Node","Known Flow","451248.887945","253037.368064","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000064","Nodes","64","21.000000","23.125395","DDS demands","Known Flow","451232.612862","253175.517578","","0.000000","","","","-5.379999","","","","-4.810892","-5.379999","","","","","","D1 PROFILE","","",""
"80014200000065","Nodes","65","21.000000","22.557557","DDS demands","Known Flow","451169.292199","253324.607452","","0.000000","","","","-7.450000","","","","-6.661923","-7.450000","","","","","","D1 PROFILE","","",""
"80014200000045","Nodes","45","21.000000","37.380178","DDS demands","Known Flow","451863.702275","253624.244063","","0.000000","","","","-15.050000","","","","-13.457979","-15.050000","","","","","","D1 PROFILE","","",""
"80014200000119","Nodes","119","21.000000","37.228415","DDS demands","Known Flow","451776.943089","253098.023080","","0.000000","","","","-6.679999","","","","-5.973375","-6.679999","","","","","","D1 PROFILE","","",""
"80014200000135","Nodes","135","21.000000","36.069789","DDS demands","Known Flow","451775.074088","253096.929080","","0.000000","","","-2.240000","-3.989999","","","","-5.570977","-6.229999","","","","","C4 PROFILE","D1 PROFILE","","",""
