"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80006900000511","Nodes","511","21.000000","29.102380","Default Known Flow Node","Known Flow","462296.052926","181353.652626","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900008005","Nodes","Logger 5676, ELVEDON PRIORY BATTLE ROAD","21.000000","29.127792","Val Log Post","Known Flow","462340.822933","181355.365281","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000308","Nodes","308","21.000000","29.385572","DDS demands","Known Flow","462461.609016","181353.773104","","0.000000","","","","","-4.829999","","","","","","-4.319072","-4.829999","","","","","","","D1 PROFILE","","","","",""
"80006900000512","Nodes","512","21.000000","29.217500","Default Known Flow Node","Known Flow","457755.503546","181432.333476","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900008001","Nodes","Logger5675, THURLE GRANGE (RECTORY RD)","21.000000","29.211804","Val Log Post","Known Flow","457743.706773","181432.055846","","0.000000","","","","","-1.990000","","","","","","-1.779493","-1.990000","","","","","","","D1 PROFILE","","","","",""
"80006900000494","Nodes","494","21.000000","29.206326","DDS demands","Known Flow","457725.777055","181431.509368","","0.000000","","","","","-1.169999","","","","","","-1.046234","-1.169999","","","","","","","D1 PROFILE","","","","",""
"80006900000033","Nodes","33","21.000000","28.014917","DDS demands","Known Flow","460507.390728","182375.783724","","0.000000","","","","","-1.799999","","","","","","-1.609592","-1.799999","","","","","","","D1 PROFILE","","","","",""
"80006900008004","Nodes","Logger 5679,SPRING FARM WALLINGFORD RD","21.000000","28.069702","Val Log Cath","Known Flow","460421.175551","182181.999233","","0.000000","","","","","-1.039999","","","","","","-0.929986","-1.039999","","","","","","","D1 PROFILE","","","","",""
"80006900000034","Nodes","34","21.000000","28.134155","Default Known Flow Node","Known Flow","460384.365067","182062.363883","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900285202","Nodes","285202","21.000000","29.297489","Default Known Flow Node","Known Flow","460013.397990","181389.608150","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900008002","Nodes","Logger 5677, SIDE 2 PENNYPIECE CLEEVE ROAD","21.000000","29.412940","Val Log Cath","Known Flow","459996.547735","181356.909993","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
