"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201600000326","Nodes","326,","21.000000","32.431506","DDS demands","Known Flow","313165.256371","680738.698445","","0.000000","","","","","-7.450000","","","","","","-6.661923","-7.450000","","","","","","","D1 PROFILE","","","","",""
"60201600000179","Nodes","179,","21.000000","31.783852","Default Known Flow Node","Known Flow","313142.607406","680759.919373","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000327","Nodes","327,","21.000000","30.608707","DDS demands","Known Flow","313125.495360","680654.695422","","0.000000","","","","","-12.010000","","","","","","-10.739556","-12.010000","","","","","","","D1 PROFILE","","","","",""
"60201600002406","Nodes","2406,","21.000000","32.953932","Default Known Flow Node","Known Flow","313177.511295","680730.151064","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002418","Nodes","2418,","21.000000","32.967722","Default Known Flow Node","Known Flow","313177.731724","680731.734331","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002252","Nodes","2252,","21.000000","28.396105","Default Known Flow Node","Known Flow","313101.134353","680510.445383","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002427","Nodes","2427,","21.000000","32.501573","Default Known Flow Node","Known Flow","313166.752796","680736.133307","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000177","Nodes","177,","21.000000","33.794747","DDS demands","Known Flow","313168.033952","680805.017639","","0.000000","","","","","-2.840000","","","","","","-2.539578","-2.840000","","","","","","","D1 PROFILE","","","","",""
"60201600002226","Nodes","2226,","21.000000","32.973393","Default Known Flow Node","Known Flow","313177.822374","680732.385443","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002230","Nodes","2230,","21.000000","33.636150","Default Known Flow Node","Known Flow","313242.162041","680885.463556","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
