"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60203400002062","Nodes","","21.000000","23.156965","Default Known Flow Node","Known Flow","320844.824460","696355.550694","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002064","Nodes","","21.000000","37.093624","Default Known Flow Node","Known Flow","321909.103750","693725.340979","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002065","Nodes","","21.000000","37.093624","Default Known Flow Node","Known Flow","321947.353760","693747.715985","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002070","Nodes","Logger 9109, 8 Lady Helen Cottages","21.000000","37.090127","Val Log Post","Known Flow","321927.575707","693781.449550","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002068","Nodes","","21.000000","37.416959","Default Known Flow Node","Known Flow","321919.228753","694171.466100","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002069","Nodes","","21.000000","37.416959","Default Known Flow Node","Known Flow","321888.478744","694151.341094","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002071","Nodes","","21.000000","37.220833","Default Known Flow Node","Known Flow","321910.853751","693771.840991","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002143","Nodes","","21.000000","36.361866","Default Known Flow Node","Known Flow","321721.058699","694725.970251","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002144","Nodes","","21.000000","36.360222","Default Known Flow Node","Known Flow","321708.828696","694719.671249","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002145","Nodes","","21.000000","39.523530","Default Known Flow Node","Known Flow","321762.062710","694635.171226","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002147","Nodes","","21.000000","40.258979","Default Known Flow Node","Known Flow","321835.321730","694627.253224","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002150","Nodes","","21.000000","37.630379","Default Known Flow Node","Known Flow","321897.314056","694375.694232","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002188","Nodes","","21.000000","37.202323","Default Known Flow Node","Known Flow","321945.972760","694385.182158","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002152","Nodes","","21.000000","38.169344","Default Known Flow Node","Known Flow","321932.041756","694448.825175","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002153","Nodes","","21.000000","38.169344","Default Known Flow Node","Known Flow","321942.190759","694464.741180","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
