"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60206100009040","Nodes","9040","21.000000","33.645571","Default Known Flow Node","Known Flow","342269.494004","727694.726956","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000247","Nodes","247","21.000000","32.112207","DDS demands","Known Flow","342246.744454","727862.792613","","0.000000","","","","","","-31.880000","","-28.507667","-31.880000","","","","","","","","D1 PROFILE",""
"60206100000123","Nodes","123","21.000000","30.083544","DDS demands","Known Flow","342378.221504","727939.684225","","0.000000","","","","","","-9.720000","","-8.691797","-9.720000","","","","","","","","D1 PROFILE",""
"60206100000075","Nodes","75,","21.000000","26.095870","DDS demands","Known Flow","342090.674557","727944.500624","","0.000000","-6.210000","","","-2.059999","","-4.199999","","-11.150897","-12.470000","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE",""
"60206100009041","Nodes","9041","21.000000","33.639760","Default Known Flow Node","Known Flow","342266.744290","727700.798224","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009042","Nodes","9042","21.000000","33.649759","Default Known Flow Node","Known Flow","342269.774631","727700.593329","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000121","Nodes","121","21.000000","31.080618","DDS demands","Known Flow","342315.902279","727877.198840","","0.000000","","","","","","-12.250000","","-10.954169","-12.250000","","","","","","","","D1 PROFILE",""
"60206100009017","Nodes","9017","21.000000","30.767038","Default Known Flow Node","Known Flow","342334.494308","727932.203286","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000106","Nodes","106","21.000000","28.971307","DDS demands","Known Flow","342391.318693","728034.957773","","0.000000","","","","","","-16.030001","","-14.334314","-16.030001","","","","","","","","D1 PROFILE",""
"60206100000214","Nodes","214","21.000000","29.192438","DDS demands","Known Flow","342439.106162","728001.427940","","0.000000","","","","","","-15.580000","","-13.931915","-15.580000","","","","","","","","D1 PROFILE",""
"60206100000225","Nodes","225","21.000000","27.482556","DDS demands","Known Flow","342161.606261","728309.773389","","0.000000","","","","","","-8.539999","","-7.636620","-8.539999","","","","","","","","D1 PROFILE",""
"60206100000104","Nodes","104","21.000000","26.229917","DDS demands","Known Flow","342298.588298","728130.638340","","0.000000","","","","","","-8.029999","","-7.180569","-8.029999","","","","","","","","D1 PROFILE",""
"60206100009049","Nodes","9049","21.000000","27.084969","Default Known Flow Node","Known Flow","342375.559886","728449.037556","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009019","Nodes","9019","21.000000","26.582896","Default Known Flow Node","Known Flow","342175.240265","728139.969343","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009044","Nodes","9044","21.000000","29.570921","Default Known Flow Node","Known Flow","342343.745537","728014.979267","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009045","Nodes","9045","21.000000","27.332160","Default Known Flow Node","Known Flow","342536.832295","728130.381421","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
